global_step,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,target_mean,gradient_norm,replay_size,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action_source
128,0,,,1.0,1.0,0.79205,2.469360697432421e-05,0.03703945875167847,0.04595605283975601,0.03743841126561165,0.005049972329288721,128,164.6971630901058,164.6971630901058,25,True,2,100,0.0,0.0,random
129,0,,,1.0,1.0,0.7912,,,,,,129,165.46454749911945,165.46454749911945,25,False,2,100,0.0,0.0,random
130,0,,,1.0,1.0,0.79035,,,,,,130,166.24313031692327,166.24313031692327,25,False,2,100,0.0,0.0,random
131,0,,,1.0,1.0,0.7895,,,,,,131,167.04366254400003,167.04366254400003,25,False,2,100,0.0,0.0,random
132,0,,,1.0,1.0,0.7886500000000001,3.618930350057781e-05,0.04287627339363098,0.05156839266419411,0.03748558834195137,0.005513827316462994,132,165.0008662515396,165.0008662515396,26,True,2,100,0.0,0.0,greedy
133,0,,,1.0,1.0,0.7878000000000001,,,,,,133,165.84442744389625,165.84442744389625,26,False,2,100,0.0,0.0,random
134,0,,,1.0,1.0,0.78695,,,,,,134,166.7333807571877,166.7333807571877,26,False,2,100,0.0,0.0,random
135,0,,,1.0,1.0,0.7861,,,,,,135,167.65802233817465,167.65802233817465,26,False,2,100,0.0,0.0,greedy
136,0,,,1.0,1.0,0.78525,8.209476072806865e-05,0.046689026057720184,0.05669208616018295,0.03744136169552803,0.009713660925626755,136,165.62828289119057,165.62828289119057,27,True,2,100,0.0,0.0,random
137,0,,,1.0,1.0,0.7844,,,,,,137,166.37336782191588,166.37336782191588,27,False,2,100,0.0,0.0,random
138,0,,,1.0,1.0,0.78355,,,,,,138,167.26670568211827,167.26670568211827,27,False,2,100,0.0,0.0,random
139,0,,,1.0,1.0,0.7827000000000001,,,,,,139,168.18794071016575,168.18794071016575,27,False,2,100,0.0,0.0,random
